SpecimenID,Species,Sex,Measured_by,1_Total_Culmen,2_Nostril_Culmen,3_Beak_depth,4_Beak_width,5_Tarsus,6_Wing_length,7_Secondary_length,8_Kipps_distance,9_Tail_lenght,10_mass,Notes
UF45274,Quiscalus major,M,Orlando Acevedo-Chary,42.7,29.4,11.4,8,50.5,182,149,33,147.4,199,
UF45274,Quiscalus major,M,Group2,35.2,30,12,7,44,185,145,40,156,NA,
UF45268,Quiscalus major,F,Orlando Acevedo-Chary,35.2,23.1,9.8,6.4,41.2,137,112,25,117,113.3,
UF45268,Quiscalus major,F,Group2,30.6,20.42,9.3,4.5,37.3,135,115,25,108,NA,
UF45617,Quiscalus quiscula,M,Orlando Acevedo-Chary,33.6,23.4,9.7,6.8,31.5,130,106,24,117.5,92.5,
UF45617,Quiscalus quiscula,,Group2,25,21.6,7.7,4.8,31,123,91,27,100,NA,"Repeted, not ID"
UF54876,Quiscalus quiscula,,Group2,25,21.6,7.7,4.8,31,123,91,27,100,NA,"Repeted, not ID"
UF54876,Quiscalus quiscula,F,Orlando Acevedo-Chary,29.2,19.9,9.1,6.4,33,124,97,27,103.7,84.2,
UF54877,Pheucticus ludovicianus,M,Orlando Acevedo-Chary,20.4,12.7,11,7.9,21.3,104.5,81,23.5,73,66.1,
UF54877,Pheucticus ludovicianus,M,Group2,16.6,10.6,11.3,11.5,22.7,100.5,80.4,20.1,80.2,NA,
UF45273,Cardinalis cardinalis,F,Orlando Acevedo-Chary,18.5,12.9,11.4,9,24.9,86.9,78.5,8.4,87.2,39.7,
UF45273,Cardinalis cardinalis,F,Group1,15.1,13.6,10.8,8.4,24,84,62,22,85,NA,
UF43293,Cardinalis cardinalis,M,Orlando Acevedo-Chary,20.6,13.6,10.7,8.8,25.5,87.1,79.4,7.7,89.6,40.3,
UF43293,Cardinalis cardinalis,M,Group1,21,14,12,9.4,21.6,85.1,77.8,7.3,86.8,NA,
UF45663,Setophaga tigrina,M,Orlando Acevedo-Chary,12.9,7.7,3,2.6,17.8,66.8,52.9,13.9,46.3,9.9,
UF52871,Setophaga pensylvanica,M,Orlando Acevedo-Chary,11.5,7.1,3.4,3.3,20,61.8,48.4,13.4,44.5,12.8,
UF45614,Setophaga palmarum,M,Orlando Acevedo-Chary,12.5,7.6,2.9,2.5,21.8,64.4,53.6,10.8,49.3,NA,
UF45614,Setophaga palmarum,M,Group1,8.5,3,4,10.5,23,NA,NA,NA,NA,NA,
UF43290,Setophaga coronata,U,Orlando Acevedo-Chary,11.7,6.8,2.9,2.7,19.5,70.3,54.2,16.1,50.4,13.5,
UF44340,Setophaga ruticilla,M,Orlando Acevedo-Chary,9.7,7,3.3,3.8,17.4,64.2,50.5,13.7,56.5,NA,
UF44340,Setophaga ruticilla,M,Group2,6.5,5.9,3.8,4.4,NA,NA,NA,NA,NA,NA,
UF52189,Setophaga caerulescens,M,Orlando Acevedo-Chary,12.5,7.4,2.9,2.7,19.6,64.9,50.9,14,50.5,NA,
UF52211,Setophaga petechia,M,Orlando Acevedo-Chary,12.2,7.5,3.2,2.8,17.9,64.1,51,13.1,42.7,NA,
UF45615,Setophaga americana,M,Orlando Acevedo-Chary,11.5,7.5,2.6,2.3,17.2,57.6,44,13.6,40.5,5.2,